女子生徒Ａ	星座候補って、どれくらいいるの？
空	え、えっと、正式な数は聞いたことないけど、二・三百人くらい、だったかな
男子生徒Ａ	星座ってさ、本当に女しかいないわけ？
星亜	男性がまったくゼロというわけじゃないけど、ほとんど女性なのは事実ね。今確認出来る正式な男性星座は、確か三人だけのはず
女性生徒Ｂ	あの、もう何か事件解決したりとかしました？
星亜	一応、実務経験をつませるっていう名目で、簡単な調査なんかをしたことあるくらいね
男子生徒Ｂ	この学園に転校してきたっていうことは、星座も普段はちゃんと学校通ってるんだ。てっきり行ってないものと思ってた
空	十二星座や普通の星座でも、事件さえなければ希望次第で普通の生活は送れるから
魅流	まったく、休み時間の度に大変だねえ
主人公	休み時間のチャイムが鳴る度に囲まれ、質問責めを受ける二人。他のクラスからも押し寄せてくるその数は、昼休みでも一行に減りそうにない。
彗	星座となればスーパーアイドルと同義だからねえ。お近づきにもなりたくなるさ
彗	まあ、オレにとっては魅流ちゃんの方がよっぽどアイドルだけどねー
魅流	あたしはアイドルなんざゴメンだぜ。窮屈でたまらん
彗	ああ、そのそっけない態度にダイナモがこうずっきゅんずっきゅんと……
大地	候補になるっていうだけで、そんな大変なことなのかなあ
主人公	今までは雲の上の存在、みたいな感じだったから気にしていなかったけれど、自分の知ってる人間がそうだったとなれば、さすがに少し気になってしまう。
魅流	なろうと思ってなれるものでもないって話だぜ
彗	星座になれる＝選ばれた人間だという話はよく聞くからねえ
大地	だったら彗もなれそうだね。色々と選ばれてるし
魅流	そうだな。この前のテストの３点なんて、常人には絶対とれないぜ
彗	ああ、魅流ちゃん……その皮肉に満ちた視線と言葉、ぞくぞくくるよぉ……
放送委員	生徒の呼び出しを行います
主人公	不意に流れたその校内放送に、僕達はスピーカーへと顔を向けた。
大地	へー、今時珍しいね呼び出しなんて。何やったんだろ
彗	呼び出されるほどの行為、さぞ勇者的で英雄的に違いないな。オレも卒業までに一度は呼び出されてみたいものだよ
魅流	安心していいぜ。一度どころか二桁は絶対呼び出されるからな。彗は
大地	いや、二人とももう去年だけで五回は呼び出されてたし
魅流	おっといけねえ、そいつはちょっと忘れてたぜ
彗	呼ばれたといっても、大した用件じゃなかったからなあ。やはり校庭に机で巨大な落書きでも描かないとだめか
彗	そしてその際には、ぜひとも校門にさらし者として……
大地	むしろ学園中の消火器勝手に持ち出して校庭でドミノやる方が酷かったと思うんだけどなあ
魅流	部室棟からの持ち出しはすべて大地だったと思ったんだが違ったか？
大地	やっぱりさ、学園生活は清く正しく美しく、が一番だよ。平穏無事、これに勝る幸せは無し。呼び出し受けるなんて行為は最低
放送委員	二－Ａ橘大地さん。二－Ａ橘大地さん。至急部室棟までおこし下さい
大地	……って、僕！？
彗	それで、呼び出し受けた橘くん
魅流	呼び出し受ける行為はなんだって？
放送委員	繰り返します。二－Ａ橘大地さん、至急部室棟までおこし下さい
主人公	無情にも鳴り響く麗しき放送部員の声は、間違いなく僕の名前を繰り返していた。
大地	おかしいなあ。呼び出しくらうようなこと、少なくとも見つからないようにはしてたはずなんだけど
魅流	やってはいるんだな
彗	さすがは笑顔で人を刺せる男。実に頼もしい
大地	で、なんで二人ともついてきてるの？
魅流	面白そう
彗	暇潰し
大地	いい友達持ったなあ、ほんと
主人公	あまりに厚い友情に、思わず縁切りたくなっちゃったよ。
