？？	おっきろ～、大くん！
主人公	ぐるん、と身体が回転する感覚。
大地	えっ？　なにっ！？
主人公	思った時にはもう遅い。
主人公	僕の身体はベッドの上で、見事にひっくり返されていた。
天音	お、ちゃんと起きたかな？　寝ぼけてない？
大地	……あま姉？
主人公	目を開いた先には、制服姿のあま姉がいる。
天音	おっはよう、元気かなぁ？
大地	……なんであま姉がここに？
主人公	それとも僕はまだ夢を見ているんだろうか。
天音	こらこら、夢じゃないってば。そこでまた布団の中に潜ろうとしないように
主人公	僕の布団を剥ぎ取るあま姉。どうやら夢じゃないらしい。
大地	……ふぁあぁ、おはようございます？
天音	うん、おはよう、大くん
大地	……正直、起こしに来るの早いよね？
主人公	普段から皐月の襲撃を警戒してる都合上、毎朝ギリギリの時間まで寝てるようなことはしていない。
天音	今日は特別よん。なにがあるか分からないんだし、みんなで早めに行こうって
大地	なるほど……そういうことですか
主人公	寝惚けた頭も、ようやくクリアになってくる。
大地	それじゃ、素直に起きるんで下で待っててもらえます？
天音	ん？　なんで？
主人公	あま姉は興味津々な顔で、僕が起き上がるのを待っている。
大地	着替えるからに決まってるでしょ！　朝の男子には秘密が一杯なのですよ
主人公	ホント、こういうところだけは皐月と変わらないから困る。
天音	ちぇ、残念。大くんの成長ぶりを観察しようと思ったのになぁ
主人公	ぶつぶつ言いながらも、あま姉は下に降りて行った。
主人公	……どこの成長！？
大地	……あれ？　そういえばみんなって言ってたかな？
主人公	とすると、空たちはもう起きて待ってることになる。僕も慌てて着替えて、部屋を飛び出すのだった。
主人公	昨日、実行委員が必死で作り上げた校門の飾りが、僕たちを迎え入れる。
主人公	いよいよ今日が勝負だと、気分が盛り上がってくるようだった。
大地	さて、勝負開始、だね
銀一郎	ああ、この門をくぐった時から、俺たちは敵同士だ。悲しいことだが、真剣勝負に手加減はねえ
主人公	僕とアニキの間には、熱い火花が散る。
皐月	えーっ！　私はなにがあっても、お兄ちゃんとは争いたくないですっ！
天音	あたしもさっちゃんに同意！　大くんはライバルであっても敵なんかじゃないわ！　最後にはお互いの力を認め合って握手するんだから
主人公	そんな僕らの気分に、あま姉＆皐月コンビが水を差してくれる。
銀一郎	いや、あのなお前ら……こういうのは、男のロマンってヤツでさあ
大地	せっかくそれっぽく決めてみたところだったのに……
空	大地と銀兄がバカなこと言い出すからでしょ？　この二人にそんなネタが通じるわけないじゃないの……
主人公	空はあくまで冷静にツッコミを入れてくれる。
銀一郎	容赦ねーなー……
大地	……まったくで
空	はいはい、バカやってないで行くわよ？　せっかく早めに出てきた意味がなくなっちゃうじゃない
主人公	呆れたように笑う空に背中を押されるようにして校門をくぐる。
主人公	こうして、僕らの茜祭は幕を開けたのだった。
