主人公	夕方のモールは、いつものことながらやっぱり混んでいた。
主人公	もう少し空いてくれてる方が、色々とやりやすいんだけどなあ。
皐月	ここが、昨日お兄ちゃんと輝夜ちゃんがデートした場所なんですね
輝夜	いえ、あれはデートというものじゃあ……
銀一郎	諦めろ、姫。皐月は、大地が関わるともう別の生き物だ
天音	そうそう。まあ、大くんがいい思いしたのは間違いないもんねー
大地	はい、大変いい思いさせていただきました
輝夜	そう言っていただけると、きょ、恐縮です……
星亜	どうしたの、空。顔、暗いわよ
空	……ここはあまり来たい場所じゃないのよ。特に大地と一緒には……
魅流	そうなのか？
彗	色々面白いもの売ってるし、楽しい所だと思うんだけどなあ
空	うん、分かってる。別に、このモールが悪いっていうわけじゃないのよ
魅流	つまり、大地が悪いってわけだな
主人公	何も言い返せないのがきっついなあ。
大地	さて、また来てみたものの、何をしよう
空	あのねえ……わたしは、あまり大地とここに来たくないって言ってるんだから、聞きなさいよっ
大地	ち、ちょーくっ。チョークチョーク！
輝夜	そ、空さん、押さえて下さいっ。大地先輩死んじゃいますっ
空	はぁ……はぁ……まったくもう。何かすることがあるなら、さっさとやりなさい！
