大地	いい天気だなあ。こんな天気の日は、ゆっくりひなたぼっこでもしながら寝るに限るよね
星亜	同感ね。縁側なんかに二人で座って、お互いに寄りかかり合いながら、うとうとって……
空	そんなのもったいないと思うんだけど。どうせだったら、腕でも組みながらのんびり散歩とか
輝夜	私は、お買い物なんか楽しいと思うんですけれど。夕飯を何にしようかとか話しながら
天音	大くん、プール行かない？　この天気だもん、屋内でもきっと気持ちいいわよ
主人公	放課後、いつも通りにみんなの集まった部室。色々あったけれども、候補試験は延長となり、僕達はあの賑やかな生活を続けている。
主人公	変わったことというなら、僕の周りに一生離れることのない大切な女の子達ができたこと。
主人公	常に僕だけを見てくれる、常に僕が見続ける、そんな女の子達が。
空	でもまあ、わたしは大地の隣にいられれば、それで満足だけど
星亜	そうね。何かするなら色々できるけど、橘くんがいないんじゃそれも意味ないわ
天音	大くんのやることが、あたしたちのやることだし
輝夜	そして、大地先輩のいらっしゃる場所が、私たちのいる場所です
主人公	……ま、まあ、さすがにちょっと幸せすぎるなあ、なんて思ったりもするけれど。
陽夏	はあ……お前らなあ。真っ昼間からいちゃいちゃべたべたらぶらぶしおって……
陽夏	想い合っている若い男女に、そういう行為をするな、とは言わんが、もう少し周囲の空気を読んでみたらどうだ……
七星	そうですよ、橘さま。陽夏さんも、昴さんとの逢瀬を一生懸命堪えているんですから
黒哉	陽夏ちゃん、昴さんの前だともう止まらないものね。首輪つけても力で破壊しちゃうし
七星	お馬さんの前に、にんじんをぶら下げるようなものですから
黒哉	七ちゃん。それだとさすがにお馬さんに失礼じゃないかしら。陽夏ちゃん、もっと恐いし
陽夏	くううう、色々と言い返したいが、何も言い返せないのが悔しすぎる……
主人公	この人、昴さん関係で本当にどんな逸話残してきてるんだ、ほんと……。
空	ね、ねえ。大地も、陽夏さんと昴先生みたいに、人前で、その……い、色々したい？
大地	え、僕？　そりゃまあ、僕としてはいつでもどこでもみんなといちゃいちゃしてたいけど、さすがにそういうわけにもねえ
空	そう、なんだ……やっぱりしたいんだ……
星亜	人前でなんて恥ずかしいけど、で、でも、橘くんが望んでるならしかたない……わよねぇ……？
輝夜	は、はい……や、やっぱり私たちが頑張って、大地先輩の願いに応えるべきだと……
天音	そうね。あたしたちがやらなきゃ、それこそ誰がやるだもの！
大地	え？　はい？　あのぉ、み、皆さん？
空	よーし、これからは人前でも頑張っちゃうんだから！
星亜	ええ！
輝夜	はい！
天音	おっけー！
大地	な、なんかナナメ上に吹っ飛んでません！？
皐月	うううう……私だって、私だっていつかあの輪の中に入って、お兄ちゃんのお嫁さんに……
銀一郎	あー、輪の中には入れるだろうが、できればやめといた方がいいと思うぞ
魅流	あたしは、あの輪の中に入るのはごめんだぜ。外から見てた方がよっぽど面白そうだ
彗	確かに。へたな芸人見てるより、よっぽど面白そうだしねえ
彗	今から期待にダイナモ回っちゃいそうだよ
銀一郎	与那のダイナモが回るってこたあ、まともじゃねえってことだな
魅流	いやあ、期待はより高まりますなあ
皐月	お兄ちゃぁん。皐月も混ぜて下さあい
七星	そういえば、皆さん。そろそろ行かないでよろしいんですか？　今日は確か海原さんの所へ行かれる予定だったのでは
大地	あ、もうこんな時間か。そろそろ行かないと面会時間終わっちゃうな
大地	すみません、それじゃあちょっと失礼します
黒哉	ええ。ですが、いくら監視下にあるとはいえ充分気をつけて下さいね
陽夏	空、星亜、輝夜、いざと言うときは分かってるな
空	はい、必ず大地は守ります！
星亜	ええ。橘くんは守ってみせるわ
輝夜	大地先輩、この身に代えてもお守りしますっ
天音	うわー、大くんだけなのね。ま、あたしも同じこと言っただろうけど
大地	いやあの、他のみんなも守るようによろしくです
主人公	僕は周囲の温かな視線に顔を引きつらせながら、部室を出て行った。
陽夏	ん？　そういえば明葉の奴はどうした。昼には確かにいたはずだが……
黒哉	明葉ちゃんでしたら、少し前に出て行きましたよ。行くところがあるって
七星	ということは、あそこ、でしょうか
陽夏	まったく、不器用というか、律儀というか。いや、あいつの場合はただのバカ、だな
陽夏	本当に……バカだ
