大地	なるほどね。そんな温情判決が下ったんだ
空	温情、というのはどうかしらね。結局は、蒼を人質代わりに使わなければ、あの黒猫が暴れかねなかったっていうだけよ
星亜	そうね。少しでも反抗すれば、即座に罰を与えられる。それはきっと、命に関わるものになるでしょうね……
輝夜	首輪をかけられてしまったようなものです。動けず、目も見えない蒼さんにとって、それはとても辛いものかもしれません……
天音	なるほどね。まあ、それだけのことをした以上は仕方ないんだろうけど……
主人公	見慣れた集団を見かけ、明葉は咄嗟に木の陰にかくれた。
主人公	そして、その集団が通り過ぎ、病院内へ入るのを確認すると、再び姿を現す。
主人公	人に貸しを作るのは大好きだが、借りを借りたままにしておけるタチでもない。
明葉	ま、これで借りは返したぞ。子馬ちゃん
主人公	呟くように言うと、とある病室へと視線を向ける。
主人公	二人の少女のいるその部屋へ。
主人公	やがて、その病室から、凄まじい歓声が聞こえてきた。それが何を意味するものなのか、特に気にする必要はない。
明葉	まあ、もしまた縁があったら会おうじゃないか、子馬ちゃん
主人公	そして明葉は歩き出す。満足そうに、その顔に微笑みを浮かべながら。
主人公	その病室にいる友人達の笑顔を、その閉じたまぶたの裏に浮かべながら。
