クラス一同	なにいっ！？
主人公	教室内を、まさしく驚愕が支配した。
ラーロン	教師Ａよ、それは本当なのだろうな！
主人公	あのラーロンまでもが立ち上がり、先生を指差しながら質問を返す。それほどのことだった。
主人公	一日の最後。帰りのホームルームの時間での先生からの報告。
バリアリーフ	生徒ラーロン。興奮してしまったからとはいえ教師を指差すというのは、お世辞にも行儀がいいとはいえない行為ですわよ
ラーロン	……確かに。誰が呼ばずとも私が呼ぼう！　この高貴なるラーロン＝ハデラの取る行動としては、いささか無礼だったようだ。謝罪しよう、教師Ａ
バリアリーフ	素直に間違いを認める心はとても大切。よしといたしましょう
主人公	あれで許してしまうのだから、なんだかんだいってこの先生、懐広すぎだと思う。
紅	いつも思うんだが……あの教師Ａって呼び方には問題ないのか？
主人公	まったくもって同感だ。どう思っているのか、今度ウルルにでも聞いてみるか。
バリアリーフ	今報告したことですが、間違いなく事実。決定事項です
バリアリーフ	朝もお伝えしました編入生ですが、このクラスに入ることとなりました
バリアリーフ	種族は魔族。それも魔王の称号を持つ者ですので、チョッカイをかける時はそれ相応の覚悟を持った上で挑みなさい。できれば遺書などが望ましいですわね。後腐れが無くて
主人公	魔王。その言葉にクラスの誰もが反応した。あのデイルすらもが興味を抱いているように見える。しかも今の言い方、ラーロンのような末端の血統ではなさそうだ。
姫	それだけの力を持った存在がクラス入りか。試験にも参加するのなら、どこのパーティーに入るかで根本的にバランスが変わるな
主人公	それは騒いで当然というものだろう。
主人公	だが先生は、そんな生徒達を一瞬で鎮めると話を繋いだ。
バリアリーフ	試験へも参加は致します。ですが、丁度試験当日からの編入となりますので、どのパーティーに入るかはこちらで決めさせていただきますわ
主人公	どうやって引き込もう。そんな相談をしていたクラス内が、まさしく瞬時に静まりかえる。
ラーロン	ふははははははは！　なるほど、この学園も粋なことをして下さる！　さすがは貴族の庭園と呼ばれるだけのことはある！
主人公	念のために補足しておこう、誰も呼んでいない。
ラーロン	魔王と呼ばれし高貴な血。それが名も無き下級魔族などと組むなど、世界を滅ぼすまさに悪行。同じ魔王の名を持つこの私と組む以外にはありえないというもの
ラーロン	とはいえ、なんの理由もなく魔王ともあろうものが手を組んでしまえば、それはもう学園最高位を確定してしまう。他世界からの苦情もこよう！
ラーロン	だが、今のような事情があるならば誰も文句は言えまい！　よろしい教師Ａ。このラーロン、その策、甘んじて受け入れましょう。『慈悲深き冷徹』の名に誓って！
紅	……いつ付いたんだ？　そんな二つ名
姫	今だろ。いつものことだ
主人公	それが分かっているためか、誰もそこについてのツッコミはない。とはいえ、今のラーロンの言い分は間違っていない。
主人公	力を誇りとする魔族、それも最強の血族である魔王が力の無いものと組むとは思えない。可能性があるとすれば、やっぱり同じ魔王のラーロンだろう。
主人公	そしてそのことを全員分かっているのか、だれもが諦めの顔を見せていた。
紅	こういう時に悩む必要がないっていうのは楽でいいな
姫	まったくだ
主人公	元々考える余地もないので、こういう時に慌てることも、悔しがることもない。まあ、喜ぶこともないけども。
主人公	しかし、魔王クラスか。いったいどれくらいの力を持ってるんだろう。それだけは気になるなあ。
主人公	ラーロンが強いのは分かるし認める。けれどもそれはまだ、学園の生徒の延長線上、というレベルだ。
主人公	本当の魔王っていうのは、根本的なレベルの差、存在そのものの違いをその魂に植え付けるという。その力をこの目で見られるというのなら、それは楽しみだ。
主人公	この後、最後の最後に大きなイベントを行ったのち、この日の授業は終わった。
主人公	デイルのパーティーを決めるというくじ引き合戦。その結果は特に面白いこともなく、当たり障りの無い、ごく普通のパーティーに決まった。
主人公	まあ、ある意味バランスがとれたということなのかもしれない。
