男子生徒Ａ	お、おい、どうだった？
デイル	いやあ、ありゃまた派手にやらかしたもんだねえ
主人公	無事迷宮から脱出してきたデイルのパーティーに、他の生徒達が群がっていく。
主人公	一人の生徒の攻撃により迷宮最深部が破壊された。その情報は瞬く間に広がり、授業は中断。
主人公	その後生徒達は、それぞれ一番近い出口から地上へと脱出することになった。
主人公	とはいえ、大半の生徒達は、まだ迷宮の中盤辺りにいた為に入り口へと引き返したものの、少数ながら既に後半部分へと進んでいた者達も存在していた。
主人公	彼らの一部は、そのまま真っ直ぐゴールへと向かい、その惨状を目の当たりしながら奥の出口より脱出してきたのである。
デイルパーティーＡ	わ、わたし、あんなの初めて見た。本当に壁が一部だけぽかあ、って無くなってて……そのガレキそのものが、まるで砂利みたいに粉々になってるの……
女子生徒Ａ	た、たしか迷宮の壁って、歴代最高クラスの魔法障壁で護られてるから、魔法を百人撃っても大丈夫、とかいう触れ込みじゃなかったっけ……
デイル	まあ、所詮は机上の理論ってことじゃないの？　もっとも、姫さんの能力が半端無いって事には違いないけど
主人公	無論、誰がどのように破壊したのか、という詳細な情報は出ていない。だが、そんなことを出来るものはあまりに限られている。
主人公	生徒達の中では、それは確定事項として広まっていた。
主人公	そして、その張本人達は――。
トリア	まあ、確かに迷宮攻略にルールは無し、好きにやれって教えてあるがな。一応学園の施設なわけでね、壊されるのはちょっと勘弁してほしいんだが
姫	す、すみません……
紅	本当に、申し訳ありません……
バリアリーフ	まったく、前代未聞ですわよ、学園地下迷宮を破壊するなんて
主人公	学園長室にて、説教をくらっていた。
ヴェル	べ、別におかしなことはしてないわよ。ただ、襲ってきたモンスターを倒しただけだもの。迷宮の壁がやわすぎるんじゃないの？
トリア	あれでやわだなんていったら、全世界の建築業者が泣くぞ
バリアリーフ	各世界の選りすぐりの業者による、渾身の魔法障壁、のはずだったのですけれど……
主人公	はあ、と疲れたように溜息をつく学園長とバリアリーフ。これはさすがに仕方のないことだろう。
トリア	そもそも、たとえ魔族のフルパワーでも破壊出来ないように計算して作ったはずなんだがなあ。耐久実験も完璧だったというのに
バリアリーフ	ええ、対魔族、対神族、対竜族、どの種族の力を持ってしても普通は破壊出来ないはずですわ
バリアリーフ	考えられるとすれば、想定以上の力が一点に集中した、ということでしょうか
トリア	とはいえだ、確かにこれはヴェル達を叱るわけにもいかんな。モンスター相手に、備品を壊さぬよう注意して戦えなんて言えるわけもない
ヴェル	そうそう。まさしくその通りよ
バリアリーフ	だからといって、学園の施設を破壊したことは事実なのですから、そう胸を張るのはお辞めになって下さいますこと
ヴェル	はぁい……
主人公	さしものヴェルも、頭に血が上って制御をしそこねた、という負い目がある以上は強く出れない。姫や紅と一緒に大人しく並んでいる。
トリア	まったく。学園の運営費も無限なわけじゃないんだが。この修理費用をどこから出すか……って、いや待てよ？　絶対壊れるはずのない壁が壊れたわけだよな
バリアリーフ	なるほど。これはあれですわね。欠陥工事の疑いで追求して修理費用を負けてもらうしかないかと
トリア	うむ。それはナイスアイディアだ
トリア	早速業者を呼びつけるとしよう。ああ、壊れた壁はいい物証になる。しばしそのままにしておくように
バリアリーフ	かしこまりましたわ
トリア	とりあえず、業者相手に証言してもらうことになるかもしれんから、そこは覚悟しておくようにな。では帰っていいぞ
姫	いやあの、いいんですか？
トリア	反省したい、というならそれなりの罰則を用意するが？
姫	いえ、結構です。失礼しますっ
紅	失礼しますっ
ヴェル	あとよろしく
主人公	三人は最後に敬礼を残すと、そのまま学園長室から去っていった。
主人公	そしてそんな学園長室の様子は、盗み聞きをしていたクラスメイトによって、早速みんなに伝えられる。
デイル	なるほど。やっぱり姫さんの仕業で確定か
主人公	その話を聞くためか、闘技場では未だに多くのクラスメイト達が残っていた。話を聞いた生徒達から、やっぱり、という驚きが広がる。
デイルパーティーＢ	しっかし、魔王の血筋ってのは本当に凄いな。なんというかここまでくると、恐怖すら覚えるよ
デイル	ただそこいるだけで畏怖と恐怖を生み、周囲がひれ伏す。元々魔王ってのはそういう存在なのよ
デイルパーティーＡ	やっぱり、同じ魔族として羨ましいですか？　魔王の力って
デイル	いんや、全然
デイルパーティーＡ	あれ、あっさりしてるんですね
デイル	無駄に力だけあっても面倒なだけでしょ。今みたいにさ。俺様は今のままで十分よ
デイルパーティーＢ	そういう考え、デイルらしいな
主人公	言って笑う、デイルのパーティー達。とはいえ、魔族においてはそっちの考えの方が少数だ。
ラーロン	……くっ、また奴らか……あの下郎Ａ！
主人公	こういった、自らの力を誇示したがる者の方が、やはり多い。もっとも、ラーロンほどに捻くれてはいないだろうが。
ラーロン	大した実力も無いくせに、セイン様を利用して大きな顔をするとは……ああ、腹が立つ
ラーロン	たかが人族の分際で、何を勘違いしているのか！
主人公	試験において、ヴェルの存在があったとはいえ、姫達に負けたという事実は、ラーロンの自尊心を大きく傷つけていた。
主人公	だからこそ、その怒りをどこかにぶつけなくては収まらないわけであり、今回の実習はそれを狙ってもいた。
主人公	だが結局は大きく先行され、この結果である。憤慨するのも仕方ないといえば仕方ないのかもしれない。
ラーロン	おい、貴様！
ラーロンパーティＡ	は、はいっ
ラーロン	今すぐに行って、あの下郎Ａに思い知らせてこい！
ラーロンパーティＡ	む、無理ですっ！　向こうには、あのセイン様がいらっしゃるんですから！
ラーロン	だったらもう一人でも二人でも連れて行け！　一斉にかかれば一人くらいは下郎に届くだろう！
ラーロンパーティーＢ	届くわけないじゃないですかぁ。相手は、あのセイン様なんですよ。一撃で全員やられておしまいです
ラーロン	うぐぐぐぐ……ああ、この役立たずどもが！　もういい！
主人公	ラーロンはその手を大きく振り払いながら叫ぶと、闘技場の出口へと足を向けた。が、そこで何かを思いついたかのように立ち止まる。
主人公	そして、真っ直ぐにデイルのもとへと歩いていった。
ラーロン	おい、デイル
デイル	ん？　なんだい、おぼっちゃま
主人公	デイルの返答に一瞬ムッとするラーロンだが、すぐに気を取り直し、言う。
ラーロン	お前は、小者揃いのこの学園の魔族の中で、数少ない私が認める力の持ち主だ
デイル	そりゃどうも。端っことはいえ、魔王の血族様にそう言われると、悪い気はしないねえ
ラーロン	ならば、お前も分かるだろう。我ら魔族が、あんなひ弱な人族如きにいいようにバカにされている現状がっ
ラーロン	魔族の一員として、なんとかしなければとは思わないか！　もはや他のザコ共ではラチがあかん！　だが、お前と私でならば……
デイル	あー、悪いけどパス
ラーロン	な、に？
主人公	いきり立ったラーロンの言葉を、あっさりとした否定の言葉で塞ぐデイル。さすがのラーロンも、その軽さに言葉を失う。
デイル	だって、めんどくさいじゃない。普通パスでしょ、そんなの
ラーロン	貴様！　魔族の一人としての尊厳は、誇りはないのか！　人族如きにいいようにあしらわれている今を受け入れるというのか！！
デイル	別に無くはないけどねえ。とはいえ、姫っち相手にするってことはヴェルの姫さん相手にするってことでしょ。俺様、無駄なことはしない主義でねぇ
デイル	ま、あれだけの美少女、お相手してみたいって興味もないわけじゃないけどねえ
デイル	いや、まさか俺様達が信奉してやまない魔王様が、あれほどの美少女とは。その姫さんにあそこまで言わせる姫っち。羨ましいねえ
ラーロン	くっ。な、ならば、その下郎Ａからセイン様を我ら　魔族の手に取り戻そうという………
デイル	はい、そこまでよ。誰が誰にどんな興味を持つか、それは各々の勝手ってもんさ。部外者が適当に手を突っ込んでいいもんじゃないでしょ
デイル	おお。俺様、我ながら格好いい理由を思いついたんじゃない。ま、そういうわけだから、俺様パスってことで
デイル	ああ、応援はしたげるから頑張ってちょ
主人公	デイルはひらひらと手を振ると、そのまま仲間と一緒に出口へと歩き出す。さっきとは逆の立場となったラーロンは、悔しげに歯噛みしながらその背中を見送っていた。
ラーロン	ぐ……どいつもこいつもバカにしてくれる……
ラーロン	俺は、偉大なる魔王の血族だ……ラーロン＝ハデラ様だ。このトリニティの中においてもトップを走れる力の持ち主なのだぞ……
ラーロン	覚えていろよ、下郎共……私の、このラーロンの本当の力、絶対に見せつけてくれる……
