神族Ａ	ヴェ、ヴェル＝セイン！？　そんな、ノート様が……
ヴェル	残念ね！
主人公	塔から渡り廊下へと出た途端、そこにいた神族を鎌の一振りで昏倒させる。その音で、他に数人いた生徒たちが私に気がついた。先生の姿も見える。
バリアリーフ	生徒ヴェル！　無事でしたの！？
神族Ｂ	ほんとに、魔族はしぶといです！　でも、あの銀月にやられたなら、まだ本調子じゃないはず！
神族Ｃ	ああ。今度こそ本当に立てなくしてやります！
ヴェル	あなたたちに構ってる暇なんて、私にはないのよ。ヒメが目覚めるまでに、ノートにお説教してこなくちゃいけないんだから！
主人公	襲ってくる数人の神族を全部一撃で昏倒させる。どうやら塔の中に入ろうとしていたんじゃなくて、戦ってるうちに渡り廊下の方に出てきてしまったみたい。
バリアリーフ	その様子だと、何も問題はないようですわね
ヴェル	ええ、ヒメが守ってくれてるもの。ところで先生、状況はどうなってるの？
バリアリーフ	生徒ノートの聖戦に同調し暴れ始めた神族は、全神族のうち半数ほどですわね。嘆かわしいことですけれど、教師の中にも数人おりますわ
バリアリーフ	現在、私達、竜族を中心とした教師陣と生徒達によって、戦う意思のない生徒達の脱出と、暴れる生徒達の捕縛を行っております
バリアリーフ	幸い、ウルルさまと、生徒デイルや生徒白川といった高レベル生徒の協力もあり、今のところはこちらが優勢、といったところですわね
バリアリーフ	とはいえ、ただ魔族憎しで暴れてる生徒達の手で、ケガ人も多くでています。生徒ノートの出方次第では、まだ一波乱有るかも知れませんわね……
ヴェル	ケガ人が出ているわりには養護室には誰も来なかったようだけど？
バリアリーフ	今の状況では、学園内に留まる方が危険ですもの。回復魔法で応急処置をして、外の方に脱出させていますわ
主人公	なるほど。ノートと直接戦った私たちだからこそ、追ってこないだろうという判断も出来たけれど、この状況になってしまってはそうもいかない。
主人公	今なら学園外に脱出させる方が正しい判断だ。
ヴェル	ノートの方は、私が受け持つわ。先生は生徒たちを
バリアリーフ	本来なら私が行かなければならないのですけれど……今はそれが最善のようですわね
主人公	先生は少し考えると、そう頷いた。そして、小さく微笑みながら言う。
バリアリーフ	生徒ヴェル。トリア様は、学園長としても、魔族の長としても立派な方でしたわ
バリアリーフ	ですから、しっかりとその想い、受け継いでくださいな
ヴェル	ええ。もちろん
主人公	素直に嬉しかった。母様を褒められただけで、こんな気持ちになれる。それくらいに母様を大事に想っていた自分が、嬉しかった。
主人公	私は笑顔で答えると、そのまま校舎の中へと入っていく。
アミア	……ヴェルさん
ヴェル	アミア……
ヴェル	率直に聞くわ。あなたはどちら側？
主人公	酷かとは思ったけれど、これはハッキリしておかなくてはいけない。私の質問に、アミアの顔が今にも泣きそうに歪む。
主人公	けれど、まるで涙を振り払うように首を振り、アミアは正面から私を見て、いつもの元気な声で言った。
アミア	お姉ちゃんから、伝言だよ。大聖堂で待ってるって
ヴェル	……そう
主人公	今ので分かった。この子はもう決めている。姉と共に戦うことを。そのすべてを受け入れている。
ヴェル	ノートは、作られたグラン・ルナ。そしてカウンター兵器。あなたやルアンさんは、そのことを知ってたの？
アミア	知ってた。だけどそんなの関係ないよ。お姉ちゃんは、神界が待ち望んだグラン・ルナにして、神界の切り札
アミア	そして……そして、それでも、わたしのお姉ちゃん！
主人公	その真剣な回答に、自然と私は微笑んでいた。
主人公	そう、それが答え。ノートはノート。ただのノート＝ルゥム。
ヴェル	大聖堂ね。ありがとう
主人公	行こう。ノートが待ってる。
