アミア	はいとうちゃーく
ノート	アミちゃん、あんまりはしゃいだらダメですよ。もう結構遅いんですから
紅	今日はなんだか、凄い久し振りに帰ってきた気がするなあ
ウルル	はい。もう何日も空けてたような気分です
オペラ	なんといいますか、実に密度の高い一日でしたからねえ、今日は
姫	朝にここを出てから、まだ半日経ってないくらいなはずなんだけどなあ
主人公	そう言いながらも、俺達は笑いながら寮の中へと入っていく。身体は本当に疲れ切っているけど、気持ちの方は晴れやかだった。
主人公	が、そんな俺の袖を、誰かが不意に掴む。
姫	ヴェル……？
主人公	振り返ってみれば、その顔を夜の暗さの中でも分かるくらいに赤らめたヴェルが、俺の袖を掴んでいた。
ヴェル	あ、あの、ね……
主人公	そしてヴェルは、どこか恥ずかしそうにモジモジとしながら口を開く。
ヴェル	あのね……勝ったヒメに渡したい……
ウルル	にいさまー、どうかしたんですかー？
ヴェル	ぴいっ
主人公	が、丁度そこに投げかけられたウルルの声に、ヴェルはその場で思い切り跳び上がった。
ウルル	ヴェルさま？　あの……もしかしてお話の邪魔しちゃいましたか……？
ヴェル	う、ううん！？　なんでもない！　そう、なんでもないのなんでもない……
主人公	あははと、妙に乾いた笑みを浮かべつつ答えるヴェル。なんだったんだろう。
姫	ウルル、みんなと部屋に行ったんじゃなかったのか？
ウルル	あ、はい。それなんですけど、にいさまが勝った記念に、食堂でお祝いしましょうって話になって。ルアンさまが色々お料理出してくれるそうです
姫	ええ、いいのか？　あくまでも俺の個人的なことなのに
ウルル	みんなノリノリですから問題なしです。ルアンさまもオペラも大張り切りですから
姫	そっか。それじゃあ、甘えさせてもらおうかな。行こう、ヴェル
ヴェル	う、うん……
主人公	ウルルに引っ張られるようにして、寮の中へと入っていく俺とヴェル。
ヴェル	あうぅ……頑張って決心したのに……
主人公	ヴェルが何かを呟いたような気がしたけれど、それが何かはよく聞こえなかった。
