ノート	それじゃあ皆さん、お疲れ様です
アミア	おつかれー、またご飯の時にね～
オペラ	それではウルルさま、まずはお部屋でお茶にしましょうか
ウルル	わ～い、オペラのおやつ～♪
紅	それじゃあ、あたしたちも行くか
姫	ああ
ヴェル	ま、待って、ヒメ
主人公	みんなに続いて階段を上り始めた俺を、後ろからヴェルが呼び止める。俺は紅を先に行かせると、下へと降りた。
姫	ヴェル？　どうかしたのか
主人公	ヴェルは、身体をもじもじと動かしながら、上目遣いで俺を見上げた。
ヴェル	え、えっとね、あの、その……ひ、昼間の母様の話のこと、なんだけど……
主人公	その内容を思い出し、思わず顔が赤くなる。いや、あれはその、確かにとんでもない話だったし、ヴェルが否定しておきたいのも分かる。
姫	いや、あれは学園長の悪のりが原因だしな。ヴェルのせいじゃあ
ヴェル	う、ううん、違うのっ
ヴェル	も、貰ってほしいのは本当！　私、ヒメにあげるって、ヒメだけのものって、もう決めてるから……
ヴェル	で、でもね、あの……今はとりあえず、これだけ……
ヴェル	ん……
主人公	スッと顔を近づけてくるヴェル。そして柔らかな感触が、俺の頬に触れた。
主人公	それはほんの一瞬だったけれど、まるで心の奥底を燃やされたみたいに熱く感じる。
ヴェル	え、えへへ……それだけ。ま、また後でね
主人公	明らかに真っ赤になっていた顔を隠すように、ぱたぱたと姿を消してしまうヴェル。
主人公	けれど俺は、頬に残った熱い感触に、その後を追うことも声をかけることもできず、ただボーッと立ち尽くしていた……。
オペラ	さすがはヴェルさま。やりますねえ
ウルル	お、大人です！　ヴェルさますっごく大人です！！
姫	って、どこに隠れてたんですか、二人とも！？
オペラ	いえー、何やら不穏な空気を感じたもので、その柱の陰に。実に素敵なものを見させていただきました
オペラ	あれはもう、いつでもおっけーです！　奪いにきて！　というレベルまで堕ちてますね
ウルル	べ、勉強になります！
姫	勉強しなくていいから！
主人公	俺は二人の正反対に熱い視線から逃れるように、慌てて部屋へと階段を駆け上っていった。
主人公	……ヴェルの唇、柔らかいんだな……。
