男子魔族	はっ、どうせお前達の仕業なのだろう。そうでなければ、都合がよすぎる
女子神族	ふざけないでよね。あたしたちはあくまでも被害者側。暴走したのはどちら側の兵器だったのか、しっかりお勉強してきなさいな
主人公	朝、登校してみると、クラスの隅の方で何やらいざこざが起こっていた。
姫	……なんだ、あれ？
ヴェル	魔族と神族が言い合ってるみたいだけど……
紅	あまりいい雰囲気じゃないな。まずいんじゃないか？
デイル	いやいや、放っておくのが一番だと思うぜ
姫	どういうことだ、デイル？
デイル	例の古代兵器の件よ。どうも、あの暴走事故の原因は神族側にある、とかいう噂が流れてるらしくてねえ、それを元に魔族が因縁つけてるわけだ
紅	神族側に？　でも、暴走したのは魔族側のだったんだろう？　それがどうして……
姫	だからこそ、怪しいってことだろ。古代兵器の技術を独占するために、わざと暴走させて破壊した、とかで
デイル	はい、姫っち大正解。まさに、それ
ヴェル	いいがかりにも程があるわね、それ
紅	まったくだ。とはいえ、これ以上変な方向に流れなきゃいいんだがな……
主人公	そんな紅のセリフに、俺達は全員頷いていた。
