主人公	丁度玄関前で素振りをしていた時だった。紅が、あのゲンさんに肩を借りながら帰ってきたのは。
姫	え？　紅！　どうかしたのか、！？
主人公	その光景に、俺は慌てて駆け寄った。
ゲン	なに、ちょっとした無茶のしすぎだ。休ませておけば回復する
姫	無茶って、紅、お前何を？
紅	いや、すまない。姫のお株を奪ってしまったみたいだ
主人公	それはつまり、相当なバカをやったってことだ。俺が言うのもなんだけど。
紅	本当なら森のモンスターに襲われてやばかったんだが、ゲンさんが助けてくれた
ゲン	あれは、俺が刺激したようなもんだからな。助けて当然だ。お前が気にする必要はねえさ
姫	すみません。紅がお世話になったみたいで
ゲン	いや、本当に大したことじゃねえからな。気にしないでくれ
姫	でも、森のモンスターっていえば、種類によってはかなりの強敵なはずなんですが、それを一人で……？
ゲン	まあな。これでも伊達に鍛えてるわけじゃねえ。まあ、もしまた力が必要になったら言ってくれや
主人公	そう言い残し、立ち去ろうとするゲンさん。が、そのタイミングで寮の中から二人の人物が現れた。
トリア	それじゃあ、またな
ルアン	ええ。楽しみにしてるわ
主人公	そうして、寮から立ち去ろうとする学園長だったが、不意に俺と目があった。
トリア	おや、婿殿じゃないか。どうかしたか？
姫	いえ、そういうわけじゃないんですが……
主人公	そう言って、ゲンさんの方へと視線を送る俺。学園長はそれを追うと、ゲンを見て立ち止まる。
トリア	……お前……ただ者じゃないみたいだね……
トリア	だが……どこかで会ったこと、なかったかい……？
ゲン	俺は人族のただの賞金稼ぎだぜ。そいつが魔王妃さまと会う機会なんて普通はねえさ
トリア	……そうか
ゲン	もっとも、俺も滅界戦争参加者だからな、そこで顔を合わせてるって可能性はあるかもしんねえが
トリア	ほう……そいつは興味深いな
トリア	あの戦争でウチの前に立った命知らずは、そのほとんどが消し炭になってるはずだ
トリア	もしその生き残りだっていうなら、結構有名どころになってると思うんだけどねえ……
トリア	どうやら勘違いのようだな。すまんな、時間を取らせた
ゲン	なに。美人に待たされるのは男の勲章だ。気にしないでくれや
トリア	ほう……お前、なかなかに見所あるじゃないか。ふふ、気に入ったぞ
トリア	もしどこかの酒場で会うことがあったら、その時はおごらせてもらおう
ゲン	いいねえ。楽しみに待ってるぜ
主人公	そうして去っていく学園長を見送ると、今度はゲンさんも俺達に背を向ける。
ゲン	そんじゃあ、役目も終わったしな。まあ、縁があったらまた会おうじゃねえか
主人公	そう言い残して、ゲンさんもまた消えていった。
姫	大丈夫か、紅
紅	ああ、平気だ。ただ悪いんだが……部屋までちょっと頼む
姫	任されましたよ、お姫様
主人公	その言葉に、俺と紅とは笑い合い、そうして寮の中へと入っていった……。
ゲン	本当に変わってねえなあ……見た目も中身も……
ゲン	きっとまあ他の連中も、そのまんま、なんだろうな
ゲン	ま、仕方ねえ。あいつらと違って、俺はちと変わりすぎちまった……
少女	……寂しい、ですか？
ゲン	俺がか？　まさか
ゲン	……いや、やっぱちと寂しいな
ゲン	だがま、人生ってのはそんなもんだ。出会いと別れの繰り返しよ
ゲン	おっし。行くとするか
少女	早く終わらせて、娘に会いに行くんだ、ですね
ゲン	ああ、そうだ。さっさと行くぞ
