リンセ	うわぁ……ちゃんと波があります。本当に海なんですねぇ……
主人公	目の前に広がる大海原に、リンセが感嘆の声をあげる。
皇女	ほんとだ……こんな世界に海まで作っちゃうとか、すっごい……
紅	まあ、四つの世界の知識と技術を結集させた結果だからな
ルルウ	ですが、海を作る、というのは相当な手間が必要だと思うのですが、やはり、海での戦闘訓練などもできるように、という考えからなんですか？
姫	んー……でも、別に海での戦闘訓練とか憶えないよなあ
フォン	一度トリアさまに聞いたことがありますけど、海水浴出来た方が楽しいだろう、って仰ってましたよ
ヴェル	あのいいかげん母さまは……結局遊びたかっただけなのね……
主人公	思いっきり諦めモードで言うヴェルに、あの人を知ってる全員が、納得、と頷いた。
デイル	でもま、そのいい加減のおかでげこうして海を楽しめるわけだから、いいんじゃない？
アミア	デイルの場合は、わたしたちの水着姿じゃないのー？
デイル	当然。男に生まれたからには、女性の水着姿に一喜一憂せずなんとする
アミア	うわぁ、ハッキリ言い切りやがったよこいつ……
オペラ	まあ、いいではありませんか。どうせみなさんは白鷺さまにしか興味ないわけですし、すぐに存在を忘れられるのですから
オペラ	水着姿くらいは堪能させてあげましょう。高いですけど
デイル	うわ……まじおっかねえ……
カミシア	ま、当然だな。これだけの美少女軍団の水着姿など、普通は金を払っても拝めん
カミシア	土下座して足を嘗めれば、谷間くらいは見せてやってもいいぞ、デイル
ミヤ	カミシアちゃん……無いものを有ると偽るのは、立派な詐欺行為ですよ？
カミシア	……す、少しはあるもんっ
ミヤ	カミシアちゃん……強がった分だけ、現実の重みは増しますよ
カミシア	ぱぱあっ！！　ミヤがいじめるうっ！！
ノート	だ、大丈夫ですよ、カミちゃん。別にそこまで気にしないといけないことじゃありませんから
カミシア	ぱぱあ！！　ノートママが全力でいじめるうっ！！！
ノート	えええ！？　ボク、ですか！？
ウルル	ノートさま、今のはあまりに酷すぎます……人はそこまで残酷になれるものなんですか
フォン	はい。フォンも今のノートさんの態度にはガマンなりません。世が世なら、神族と他種族の全面戦争となっていてもおかしくないレベルです
ノート	ひ、姫くんっ。ボク今、そんなに酷いこと言っちゃったんですか！？
姫	いや、言葉としてはそこまで酷いわけじゃないんだけれども、ノートが言ったのがまずかったかなあ……
紅	そうだな。ノートのスタイルでそれを言っちゃうのは……
ウルル	紅さんもです……
オペラ	まったくもって、空気を読めない方ばかりですねえ。ほーれゆっさゆっさ
ウルル	うん。今ならウルル、色々悟れそう……
アミア	まあ、わたしたちみたいな小柄なタイプはしかたないんだよ、ウルルちゃん
ウルル	そ、そうですよね。小柄だからしかたないんですよねっ
オペラ	あ、ニコさま。ちょっとそこに立っていただけますか
ニコ	はい？　ここ？
オペラ	ええ、そこです。さあご一緒に、ゆっさゆっさ
ニコ	えっと……ゆっさゆっさ
ウルル	……小柄には二種類いるってことなんですね……
皇女	う……あたしも、これじゃあおっきいって言えないよねえ……
ルルウ	皇女ちゃんの場合は、小さい、とは違うと思いますよ。そういうのは、スレンダー、と言います
アミア	便利な言葉だよねー、スレンダー。殺意憶えるくらいに……
カミシア	うむ、激しく同意だ、アミアちゃん。ここは、その言葉を考えだした奴を捕まえ、火あぶりの上でなかったことにさせるべき
姫	いや、そこまで気にすることなのかなあ、胸の大きさって……
ヴェル	そうね。やっぱり女らしさの象徴だもの。大きい方が見栄えいいし……ヒメの視線も独占できちゃいそうだから
ヴェル	目の前にあったら、やっぱり見ちゃうでしょ、大きい方
姫	……否定はできないなあ……
デイル	くうっ。やっぱそうだよなあ。姫っち、お前は出来る子だって、俺様信じてたっ
主人公	にしても、人数が増えたせいはあるんだろう。あるんだろうけれど、ほんと騒がしくなったなあ。
主人公	さすがに、これをまとめられる自信はない。
主人公	俺は、わいわい騒いでいる女性陣を前に、心の底から思った。
主人公	……まあ、それでもこれだけ目の保養になる集団っていうのも、そうはないだろうけれど。
