ウェイトレス	はーい、いらっしゃいませー！
主人公	扉を入ると外の印象に違わず、これぞ酒場というストレートな光景が広がっていた。
主人公	それなりに繁盛しているようで、夕方にもなっていないというのに結構な数のお客さんが入っていた。
ルミネ	こんにちは、エアリーさん
アウロラ	相変わらず繁盛してるみたいね
エアリー	あ、ルミネんにアウロラちゃん
主人公	店に入ると、どうやら顔見知りらしいウェイトレスさんが手を振りながら笑顔で駆け寄ってくる。
エアリー	それと……
エアリー	ルナちゃあああああん！
ルナ	っ！？
主人公	が、俺達の前に着く直前で急加速、そのまま勢いよくルナに抱きついた。
新	うおっ！？　速いっ！！
灯	び、びっくりしたぁ……
主人公	ほとんど反応出来なかった、なんて速さだ。このウェイトレスさん出来る！
レイ	なんという身体能力……マスター、間違いありませんっ。この方、魔王です！！
アウロラ	あー、そうね。ルナにとってはそうかもしれないわね。ていうか、間違いなく魔王ね
エアリー	すりすり～ああ、このすべすべのお肌……ちょう癒されるわ～
ルナ	姉さんやめて下さい……仕事中です
エアリー	大丈夫よ～、あたしだって仕事中だもん
ルナ	全然、大丈夫じゃないです
主人公	猛スピードでルナに突撃したウェイトレスさんは、そのままルナを抱きしめながらほおずりしている。
アウロラ	むしろどこが大丈夫なのか、説明が欲しいわね
ルミネ	あ、あはは……エアリーさん。相変わらずですね
エアリー	だって一日一回はルナちゃん分補給しないと、あたし溶けてなくなっちゃうもん
灯	あ、それ分かる
新	え！？　分かるの！？
灯	うん。だって私も定期的に新くん分補給しないと、ハングアップしちゃうもん
主人公	当たり前のようにさらっと言う灯だが、本当にこの娘は俺からどんな謎物質を吸収しているのだろうか。
エアリー	ふふん、なにやら見慣れない子たちもいるけど、そっちの子とは仲良く出来そうな気がするよ
ルナ	いいから離れて下さい……
エアリー	んもぅ、ルナちゃんのいけずー
主人公	ルナにぐいっと顔を押されて、ウェイトレスさんは渋々といった感じでルナから離れた。
主人公	それを見計らって灯が服の乱れを直していたルナに訪ねる。
灯	ルナちゃん、さっき姉さんって言ってたけど？
ルナ	はい、私の姉です
エアリー	どもー。そっちの二人と、そこのちっちゃな子は初めましてかな？　ライジング・サンにようこそ～
エアリー	あたしはエアリー＝ライト。そっちのルナちゃんの最愛のお姉ちゃんやってます♪
主人公	明るく楽しげなエアリーさんの笑顔での自己紹介に、俺と灯も笑顔で返事をした。
エアリー	うん、アラタくんにアカリちゃんね。よし覚えた！　あたしの事は気軽にエアリーお姉ちゃんって呼んでね♪
灯	分かりました、エアリーお姉ちゃん♪
新	じゃあ、俺はエア姉で！　これからよろしく！
エアリー	うんうん、ノリの良い子は大好きだよ～
主人公	そういってエア姉は俺と灯をぎゅっと抱きしめてきた。
主人公	うおぉ、なんというか非常に大胆な歓迎だ。
アウロラ	うわ、初見でエアリーのノリについてきたわよ、アラタたち
ルナ	驚愕です……
ルミネ	アラタさま、さすがです……
エアリー	えっと、それでそっちのちっちゃ可愛い子は？
レイ	私は、レイ。大きなその胸に押しつぶされて究極にだらしない顔したマスターの最愛の武器やってます♪
新	……あの、レイさん？　語尾の♪はいったい……？
レイ	私からマスターに対するせめてもの情けです
主人公	情けどころかとどめのような気がするぞ……。
エアリー	うんうん、楽しい子たちはお姉ちゃんもっと大好きだよ～
レイ	むぎゅっ！
主人公	そうして、本人の気がすむまでレイすら加えた俺達を抱きしめたあと、姫さま達にエア姉は向き直った。
エアリー	それで、どうしたの……って、聞くまでもないか
ルミネ	はい。来てますよね♪
エアリー	うん、来てるよ
エアリー	つか、やっぱりあいつ仕事ほっぽりだして逃げ込んできたの？
アウロラ	ある意味で仕事以上に重要な案件ほっぽりだしたのよ……
主人公	軽く嘆息しながらそう言ったアウロラの言葉に、エア姉が盛大に肩を落とす。
主人公	そして少しだけ考えた後、俺達の方をみて手をぽんと手を叩いた。
エアリー	あ、アラタくんとアカリちゃんって変わった格好してるけど、もしかしてこの前あいつが言ってた例の件の子たち？
ルナ	おそらく姉さんの想像通りです。それも二度目の
エアリー	……はい？　二度目？　なにが？
主人公	意味不明、とばかりに小首を傾げるエア姉に、ルナが事情を説明する。
エアリー	……二度目って……まぢですか？
新	いやあ、実にまぢだったりしますこれが
