ソル	……だっせぇな……二回も負けるなんてよ……ま、テキトーにやってくれや、勇者さま……？
主人公	以前に消えた時と同じように、崩れ消えていくソルの体。
主人公	カランと音を立ててシャインのギアが床に落ちる。
主人公	これで終わり、と思いたかったが、シエルが俺たちの前に立ち、
シエル	……二対一ですか。しかし構いません、私にとってソルは邪魔な存在でしかありませんでしたから
シエル	さぁ、かかってきなさい勇者！　魂ごと消滅させてあげます
主人公	黒いオーラを放出させながら告げる。地鳴りが響く。魔王城全体が揺れてるようだ。
主人公	一人になろうともまだ戦意は喪失してないようだ。むしろ言う通り一人になった方が戦いやすいんだろう。
主人公	だけど俺達は、
新	灯
灯	うん、新くん
主人公	ギアを解除して戦闘態勢を解いた。
レイ	ふぅ、疲れました。魔王と代行者を相手だなんて特別手当をつけてもらわないとやってられませんね
シエル	っな、なんで……なんでギアを解くんですかっ。今のお二人は普通の人間で……っ
シエル	……ほら、私がこれをぶつければ、一瞬でやっつけられますよ？
主人公	手に魔力を集める。ゆらゆらと空間が揺れる。
主人公	自分はまだ戦う気だと、俺たちを倒すと主張する。
主人公	だけどやっぱり俺達は、
新	悪いな、シエルに戦う気があっても、俺達にはもうないんだ
灯	例えシエルちゃんが本気だったとしてもね、私たちは何もしないよ
シエル	そんなこと……！　なら、本当に……ッ
新	ああ、いいぞ。勇者はどんな攻撃でも受け入れる！
灯	さぁ、どんと来て！　……でも出来るだけ優しくしてほしいなー
シエル	ッッ……！
主人公	言葉だけじゃない。手を広げてシエルを待つ。
主人公	今のシエルなら本当に一瞬で、痛みを感じる間もなく俺達を倒せるだろう。
シエル	ぁ……っ……くっ……あぁ……っ
主人公	だけどいつまで待っても魔法が放たれることはなく。
灯	何となくだけどわかったよ。この前の話で、私たちが帰れないのは自分のせいだって悩んじゃったんだよね？
新	だからこんなことしたんだろ？　俺たちを元の世界に帰すために、自分が倒されるために
シエル	ちがう、違います……っ……私は、魔王だから……！
灯	だったらなんで私たちのこと、攻撃しないの？
灯	だったらなんで今、そんなに泣きそうな顔してるの？
シエル	そ、それは……泣きそうだなんて……！
主人公	灯の言葉そのまま。
主人公	シエルは悲しそうな、今にも泣きそうな顔で。
新	シエルは言ってくれた。自分達の力で帰るって言った時、俺達のことを信じるって
新	だから俺達も信じられる、シエルのことを
シエル	…………う……
