のじゃー	ユ・ー・キ・くーん、あーそぶーのじゃー
主人公	夕方、部屋に閉じこもって安らぎを覚えていた俺を、素敵な呪文がどん底へとたたき落とした。
主人公	あの素敵なまでの『のじゃー』伝承者は、俺が知る限り一人しかいない。俺は痛む頭を抑えながら、その伝承者を部屋へと招きいれた。
悠樹	……そういやあ、その言い方教えたことあったな確か
ニケ	うむ。自然に部屋へと入りこむ魔法の呪文じゃな。さすがは大賢者の魔法、見事なものじゃ
悠樹	ぐう……本気で言ってるのか冗談で言ってるのか分からないだけになんか悔しい……
ニケ	姫としては、本気で尊敬しているつもりなんじゃがなあ
悠樹	つーか、今気づいたんだが……なんでお前がこの寮にいるんだ？
主人公	ここは王立学園の学生寮だ。いくらフラン姉の紹介があった所で、無関係の人間が中に入り込むなんて……。
スキャナ	ニケ、抜け駆けずっこい！　約束通り呼びに行ったのに！！
ニケ	ふん。姫だって一緒に帰りたかったのをガマンして譲ったのじゃぞ。これくらいの優位は認めて欲しいものじゃな
スキャナ	ぐぬぬ……それを言われると何も言えない……
ニケ	ふふーん。これで姫は、クラスメイトのために身を引ける、優しくもいじらしい後輩枠をゲットじゃな。ここはあれか、やっぱり先輩呼びかの？
悠樹	あー、今の話の流れで確信持ったが、念のため聞くぞ。ニケ、お前もしかして学園に……
ニケ	うむ。当然ながらに入学したぞ。ピッチピチの一年生、友達百人できるかな、じゃな♪
主人公	いやあの、その辺の単語を聞く度にですねえ、ちょっと恥ずかしくなるんですが……。
主人公	なんていうか、俺は教えてはいけない奴にいらない向こうの知識を教えてしまった気がする。
主人公	いや、そもそもだ。なんで昨日気がつかなかった俺。フラン姉のもとにニケがいたのを思い切り知ってただろう。結びつけろよそれくらい。あの人の性格だぞっ。
悠樹	お前らさあ、本っ気で俺の計画破壊する気だろ
スキャナ	うう……心情的には応援したい側なんですが、私の存在そのものがそれを覆しているんだと自覚しているだけに……
ニケ	そもそも、ユーキに平穏な毎日などまったく似合わんしな
ニケ	そこに座っているだけで、自然と『騒乱』という言葉がプレゼントを持って挨拶にくるくらいじゃろうに
スキャナ	……同感
悠樹	うん。俺はたった今、合体魔法の代名詞、極大消滅呪文にてこいつらの服を消滅させても許されると思うんだ
スキャナ	消すの、服だけなんだね……
ニケ	さ、さすがにその、心の準備をする時間が欲しいのじゃ……
悠樹	ったく。俺に感謝しろよ。数時間前の行為によって賢者タイム入りしてなかったら本気で脱がせてた
スキャナ	そ、そういうのは女の子の前ではやめてよぅ……
ニケ	うう……生々しいのじゃ……うううう……
